Epoch 62/80, Loss: 0.4920, Train Acc: 0.7866, Val Acc: 0.6939, delta: 11.79%
Epoch 63/80, Loss: 0.4925, Train Acc: 0.7845, Val Acc: 0.7756, delta: 1.13%
Epoch 64/80, Loss: 0.4859, Train Acc: 0.7885, Val Acc: 0.7340, delta: 6.92%
Epoch 65/80, Loss: 0.4882, Train Acc: 0.7859, Val Acc: 0.7740, delta: 1.50%
Epoch 66/80, Loss: 0.4851, Train Acc: 0.7849, Val Acc: 0.6971, delta: 11.18%
Epoch 67/80, Loss: 0.4886, Train Acc: 0.7843, Val Acc: 0.6923, delta: 11.73%
Epoch 68/80, Loss: 0.4851, Train Acc: 0.7883, Val Acc: 0.6538, delta: 17.06%
Epoch 69/80, Loss: 0.4865, Train Acc: 0.7855, Val Acc: 0.6971, delta: 11.25%
Epoch 70/80, Loss: 0.4811, Train Acc: 0.7887, Val Acc: 0.7436, delta: 5.72%
Epoch 71/80, Loss: 0.4808, Train Acc: 0.7864, Val Acc: 0.7196, delta: 8.50%
Epoch 72/80, Loss: 0.4787, Train Acc: 0.7895, Val Acc: 0.5657, delta: 28.35%
Epoch 73/80, Loss: 0.4832, Train Acc: 0.7841, Val Acc: 0.7901, delta: -0.76%
Epoch 74/80, Loss: 0.4830, Train Acc: 0.7926, Val Acc: 0.7228, delta: 8.81%
Epoch 75/80, Loss: 0.4760, Train Acc: 0.7908, Val Acc: 0.7580, delta: 4.15%
Epoch 76/80, Loss: 0.4743, Train Acc: 0.7928, Val Acc: 0.6955, delta: 12.27%
Epoch 77/80, Loss: 0.4761, Train Acc: 0.7935, Val Acc: 0.7740, delta: 2.46%
Epoch 78/80, Loss: 0.4817, Train Acc: 0.7876, Val Acc: 0.7003, delta: 11.08%
Epoch 79/80, Loss: 0.4787, Train Acc: 0.7883, Val Acc: 0.6923, delta: 12.18%
Epoch 80/80, Loss: 0.4752, Train Acc: 0.7910, Val Acc: 0.7548, delta: 4.58%
